[02:33:20] 🖥️ GPU: NVIDIA GeForce RTX 5060 Ti | THÔNG SUỐT BLACKWELL LÕI TF32
[02:33:20] 🔍 Khởi động động cơ quét ổ cứng SSD...
[02:33:21]    TỔNG CỘNG ĐÃ QUÉT: REAL = 81,000 | FAKE = 80,972
[02:33:21] 📦 Đồng bộ RAM thành công: Train=137,676 | Val=24,296
[02:33:21] 
  Huấn luyện  15 Vòng !
[02:33:21] 
────────────────────────────────────────────────────────────
  EPOCH 1/15
────────────────────────────────────────────────────────────
[02:34:19]   Ep1 |   200/8604 | loss=0.4306 | lr=4.00e-05
[02:34:42]   Ep1 |   400/8604 | loss=0.3677 | lr=4.00e-05
[02:35:05]   Ep1 |   600/8604 | loss=0.3374 | lr=4.00e-05
[02:35:28]   Ep1 |   800/8604 | loss=0.3131 | lr=4.00e-05
[02:35:50]   Ep1 |  1000/8604 | loss=0.2894 | lr=4.00e-05
[02:36:13]   Ep1 |  1200/8604 | loss=0.2724 | lr=4.00e-05
[02:36:36]   Ep1 |  1400/8604 | loss=0.2563 | lr=4.00e-05
[02:36:59]   Ep1 |  1600/8604 | loss=0.2426 | lr=4.00e-05
[02:37:22]   Ep1 |  1800/8604 | loss=0.2294 | lr=4.00e-05
[02:37:44]   Ep1 |  2000/8604 | loss=0.2176 | lr=4.00e-05
[02:38:07]   Ep1 |  2200/8604 | loss=0.2062 | lr=4.00e-05
[02:38:29]   Ep1 |  2400/8604 | loss=0.1950 | lr=4.00e-05
[02:38:51]   Ep1 |  2600/8604 | loss=0.1859 | lr=4.00e-05
[02:39:14]   Ep1 |  2800/8604 | loss=0.1778 | lr=4.00e-05
[02:39:36]   Ep1 |  3000/8604 | loss=0.1706 | lr=3.99e-05
[02:39:58]   Ep1 |  3200/8604 | loss=0.1639 | lr=3.99e-05
[02:40:21]   Ep1 |  3400/8604 | loss=0.1583 | lr=3.99e-05
[02:40:43]   Ep1 |  3600/8604 | loss=0.1526 | lr=3.99e-05
[02:41:05]   Ep1 |  3800/8604 | loss=0.1474 | lr=3.99e-05
[02:41:28]   Ep1 |  4000/8604 | loss=0.1430 | lr=3.99e-05
[02:41:50]   Ep1 |  4200/8604 | loss=0.1384 | lr=3.99e-05
[02:42:12]   Ep1 |  4400/8604 | loss=0.1347 | lr=3.99e-05
[02:42:35]   Ep1 |  4600/8604 | loss=0.1308 | lr=3.99e-05
[02:42:57]   Ep1 |  4800/8604 | loss=0.1270 | lr=3.99e-05
[02:43:19]   Ep1 |  5000/8604 | loss=0.1237 | lr=3.99e-05
[02:43:41]   Ep1 |  5200/8604 | loss=0.1205 | lr=3.98e-05
[02:44:03]   Ep1 |  5400/8604 | loss=0.1176 | lr=3.98e-05
[02:44:25]   Ep1 |  5600/8604 | loss=0.1150 | lr=3.98e-05
[02:44:47]   Ep1 |  5800/8604 | loss=0.1122 | lr=3.98e-05
[02:45:10]   Ep1 |  6000/8604 | loss=0.1096 | lr=3.98e-05
[02:45:32]   Ep1 |  6200/8604 | loss=0.1072 | lr=3.98e-05
[02:45:54]   Ep1 |  6400/8604 | loss=0.1048 | lr=3.98e-05
[02:46:16]   Ep1 |  6600/8604 | loss=0.1027 | lr=3.97e-05
[02:46:38]   Ep1 |  6800/8604 | loss=0.1004 | lr=3.97e-05
[02:47:01]   Ep1 |  7000/8604 | loss=0.0984 | lr=3.97e-05
[02:47:23]   Ep1 |  7200/8604 | loss=0.0964 | lr=3.97e-05
[02:47:45]   Ep1 |  7400/8604 | loss=0.0943 | lr=3.97e-05
[02:48:07]   Ep1 |  7600/8604 | loss=0.0925 | lr=3.97e-05
[02:48:29]   Ep1 |  7800/8604 | loss=0.0908 | lr=3.96e-05
[02:48:51]   Ep1 |  8000/8604 | loss=0.0892 | lr=3.96e-05
[02:49:13]   Ep1 |  8200/8604 | loss=0.0876 | lr=3.96e-05
[02:49:35]   Ep1 |  8400/8604 | loss=0.0860 | lr=3.96e-05
[02:49:57]   Ep1 |  8600/8604 | loss=0.0846 | lr=3.96e-05
[02:49:58]   Ep1 |  8604/8604 | loss=0.0846 | lr=3.96e-05
